timestamp,ticker,asset_type,trend_score,volatility_score,ai_score,signal,explanation
2026-02-25T19:44:37.878374,AAPL,stock,53.5,19.0,34.6,BUY,📈 сильный тренд | 💰 сильный фундаментал
2026-02-25T19:44:39.177703,MSFT,stock,-24.4,28.2,5.6,NEUTRAL,✅ низкая волатильность | 💰 сильный фундаментал
2026-02-25T19:44:40.678072,GOOGL,stock,74.1,-22.5,32.6,BUY,📈 сильный тренд | ⚠️ высокая волатильность | 💰 сильный фундаментал
2026-02-25T19:44:41.655536,SBER,stock,25.3,-11.8,10.6,NEUTRAL,нейтральный рынок
2026-02-25T19:44:43.086370,GAZP,stock,49.1,49.3,27.3,BUY,📈 сильный тренд | ✅ низкая волатильность
2026-02-25T19:44:43.489077,BTCUSDT,crypto,-35.2,51.5,-8.5,NEUTRAL,📉 нисходящий тренд | ✅ низкая волатильность | 📉 слабый фундаментал
2026-02-25T19:44:44.036612,ETHUSDT,crypto,-28.5,47.4,-5.1,NEUTRAL,✅ низкая волатильность | 📉 слабый фундаментал
2026-02-25T19:44:44.478578,SOLUSDT,crypto,-31.6,49.8,-1.5,NEUTRAL,📉 нисходящий тренд | 😀 позитивный сентимент | ✅ низкая волатильность | 📉 слабый фундаментал
2026-02-25T19:59:45.543685,AAPL,stock,52.7,18.8,33.8,BUY,📈 сильный тренд | 💰 сильный фундаментал
2026-02-25T19:59:46.357926,MSFT,stock,-24.3,28.2,5.6,NEUTRAL,✅ низкая волатильность | 💰 сильный фундаментал
2026-02-25T19:59:47.197621,GOOGL,stock,74.4,-22.3,33.0,BUY,📈 сильный тренд | ⚠️ высокая волатильность | 💰 сильный фундаментал
2026-02-25T19:59:49.495872,SBER,stock,25.3,-11.8,10.6,NEUTRAL,нейтральный рынок
2026-02-25T19:59:50.303637,GAZP,stock,49.1,49.3,27.3,BUY,📈 сильный тренд | ✅ низкая волатильность
2026-02-25T19:59:50.634627,BTCUSDT,crypto,-34.8,51.6,-7.8,NEUTRAL,📉 нисходящий тренд | ✅ низкая волатильность | 📉 слабый фундаментал
2026-02-25T19:59:51.035076,ETHUSDT,crypto,-28.1,47.4,-4.5,NEUTRAL,😀 позитивный сентимент | ✅ низкая волатильность | 📉 слабый фундаментал
2026-02-25T19:59:51.371313,SOLUSDT,crypto,-31.1,49.8,-0.3,NEUTRAL,📉 нисходящий тренд | 😀 позитивный сентимент | ✅ низкая волатильность | 📉 слабый фундаментал
